,beta0,july_min,jan_max,prec,evap,soil,wind
1,16.517796,-7.566301494,11.68385925,-51.10736661,53.98870161,22.65415101,17.12715402
2,1.428956286,-4.524952489,-1.03811227,0.132690266,0.977667749,-0.921369377,-0.445377628
3,1.492442281,-0.742943213,-0.045455196,-1.17430752,1.064687382,0.277757123,0.27445479
4,8.050282948,-4.121584797,-0.055259248,-9.24612579,9.711668887,2.059477408,-1.918680649
5,111.7934341,-40.82381782,27.02412918,-227.3244701,222.2107998,88.8851959,2.238950676
6,-14.65727424,6.356999555,5.859601283,-7.787325837,15.43777083,-11.0431289,-16.75754982
7,16.61223481,8.499596053,-7.42605851,1.765303176,4.113675373,-11.77018211,-3.605702071
8,-0.993139649,2.391584653,0.656944276,0.104504853,-1.17118097,0.031571736,0.771261163
9,0.344449535,-0.129984872,-0.086499188,-0.17996143,0.420943711,-0.099896102,-0.088594744
10,1.438686752,-1.154759148,-0.239815122,-3.498832763,3.805941611,-0.255394516,-0.547888906
11,0.977738924,-1.385190366,-0.45854527,-1.0481209,1.421507738,-0.583031174,-0.402058305
12,2.999049995,-3.730552447,-0.753543061,-6.400972596,6.820405566,0.748295698,0.511070824
13,7.029847238,-11.52634314,-2.112104401,-19.71633352,23.28234749,-1.13268456,1.225219181
14,12.87181873,-12.07405392,1.717228732,-48.40294803,49.14289046,17.13232405,10.32434506
15,-6.240409379,16.62471608,1.055762994,1.45238058,-2.042313759,-2.814751677,-4.00326529
16,-1.744443018,3.758278883,-0.247417071,0.304812007,-0.331175255,-0.870111523,-1.077751343
17,5.990398431,-7.165649413,-1.782255147,-7.362450602,8.211498294,-0.636310806,1.778929111
18,3.686788452,-5.387417245,-1.716544863,-4.419310551,5.53360961,-1.011597041,1.149243918
19,3.405504116,-3.805776541,-1.238617793,-5.847497744,6.556969249,0.972030741,2.446297369
20,1.994261662,-3.104112636,-0.779272497,-3.38346484,3.96475457,0.018509808,1.198291486
21,5.548688329,-5.669009314,-0.888648013,-15.52392214,16.3543749,2.437172186,3.851240275
22,6.031092615,-7.566634919,-2.476014522,-6.021020023,7.094134393,-0.762885068,3.235499421
23,7.226579539,-8.448511526,-1.964253263,-6.746111801,7.277074448,-0.157072862,2.391855402
24,2.283460307,-4.390663845,-1.211338013,-3.96238129,4.65022662,-0.339619707,1.368073174
25,7.203945465,-9.493725449,-2.088210159,-23.63630084,24.5252555,2.663312713,4.640767657
26,2.856382113,-5.343344985,-1.81559395,-5.688608485,7.009005051,-1.320522275,2.276658713
27,1.725290215,-3.017749804,-0.305286073,-20.45180801,23.21263556,4.391236936,6.456802948
28,0.614265975,0.307804124,0.61484683,-8.018451117,7.931214613,2.727000438,2.212262032
29,0.909011687,-0.772859002,-0.375706339,-6.756338037,7.054553665,1.018400364,1.400708409
30,0.484855009,-1.152612609,-0.416007154,-2.970524004,3.540746667,-0.080105202,1.414611528
31,1.594161039,-2.110957545,-0.952567699,-33.82307282,37.09328078,6.733556984,6.281326627
32,2.635238276,-1.222673704,-0.375928017,-1.16760544,1.060232839,-0.440519296,0.708346312
33,4.067538329,-1.845971519,-0.193457392,-4.46723044,4.512669702,0.728253331,1.136295394
34,1.105311372,-0.178125689,0.098494168,-3.03440963,3.116768469,0.61671307,0.554710195
35,2.16634984,-0.830449821,-0.289292434,-2.520043365,2.876118512,0.152660844,0.658109795
36,7.534915759,-2.214386512,-0.879909201,-6.647538106,6.378676708,0.42590826,2.102617331
37,3.599273796,-1.422206578,-0.134426891,-6.044540912,5.913234084,1.557745139,0.819062693
38,0.786446097,0.614258894,-0.209659775,1.013177626,-1.022055728,-0.592668611,-0.382038016
39,2.754899924,1.330355615,0.463576008,-0.488516152,0.902908643,-0.376078638,-1.333373494
40,-0.945244961,3.045328658,0.900618322,-0.07930394,1.093217695,0.427503377,-2.667250827
41,-0.17000227,0.372515069,-0.041741778,0.504037676,-0.13524125,-0.433050268,-0.846790601
42,1.01069096,3.898996899,0.623427724,-0.215429667,-0.337880261,-0.07127571,-0.568760903
43,0.265929486,1.379146622,0.319336978,-0.554852115,0.545169082,0.383176844,-0.152287703
44,1.192356799,6.873913934,0.883347588,-0.186958943,-0.499244012,0.232435817,1.522423189
45,-0.472818873,1.912964659,0.554790459,-2.040834195,2.572890612,0.430569268,-1.312422389
46,-1.103730264,3.878316574,1.238532223,-2.190444173,3.195460502,1.056402644,-1.359748014
47,0.026676568,1.95282426,0.823339496,-2.049432802,1.986090867,1.139685472,-0.059404941
48,9.798659769,7.54396648,2.418553087,-4.667816478,5.591806105,-1.663174246,-0.307872846
49,16.31582065,38.71321596,-0.950656035,-10.12663184,-15.26235409,-15.47585192,34.33503563
50,0.558976734,-0.096901806,0.076887262,0.521572203,-0.303022367,-0.31747534,0.26240242
51,7.309368842,5.633353881,1.26971506,-5.370530786,3.339447368,1.724316939,2.226717781
52,1.350088373,2.127219046,0.667165283,-1.929046539,1.487557597,1.126307451,0.825979066
53,2.073971574,3.03401083,0.6830107,-0.30596185,-0.434844643,0.055717352,0.180528402
54,1.118161141,0.109064891,-0.581026129,1.125955106,-0.101756446,-1.672103223,-1.495413786
55,-1.544621279,-2.639063245,-0.799100788,1.737011205,0.062214576,-1.46134568,-2.039783241
56,0.880906803,1.142109137,0.50782359,-1.636165689,1.511549165,0.839351993,0.54680929
57,0.242745612,1.113637886,0.320080592,-1.000147109,1.12483066,0.431234647,0.594647925
