,OBS,Latitude,Longitude,Temperature
0,WIJ92042001,-34.07166667,18.39166667,17.158483331972278
1,WIJ92050108,-33.88666667,22.41333333,17.662120331738915
2,NAH92062102,-34.382,19.366,17.02985640376632
3,NAH92062107,-34.3865,19.42633333,17.02985640376632
4,PAP92092408,-34.31483333,19.0,16.974604409510388
5,NAH94022006,-34.56133333,19.54916667,17.02985640376632
6,APE94082105,-33.8915,25.26416667,18.221008052238613
7,APE94080709,-34.02166667,18.40166667,17.158483331972278
8,OUT95041402,-33.963,21.26116667,17.58716368942094
9,OUT95041403,-33.96633333,21.279,17.58716368942094
10,MCG96042101,-33.88916667,25.26783333,18.221008052238613
11,JID97071401,-33.96983333,18.4,17.158483331972278
12,OUT97070606,-33.85,23.69166667,17.42327570851327
13,PMR98030101,-34.1205,18.4425,16.82519545733296
14,IVM98030503,-34.30766667,19.45516667,17.02985640376632
15,NAH98052305,-34.39316667,19.44733333,17.02985640376632
16,PMR98053102,-34.1825,19.17966667,16.159485448016184
17,SAS99080702,-33.71533333,19.86766667,14.672653860991113
18,AGRY0010903,-34.44416667,19.66883333,17.02985640376632
19,WMPY0010903,-34.44683333,19.68,17.02985640376632
20,PMRY0070103,-33.795,25.092,18.221008052238613
21,TLEY0050603,-34.19383333,19.50316667,16.159485448016184
22,CBE92040403,-33.44366667,19.38166667,15.484516052002656
23,WIJ93051609,-34.0275,19.61333333,16.159485448016184
24,WIJ93102605,-33.985,20.5,17.354423065977972
25,WIJ93102903,-33.95333333,20.34,17.354423065977972
26,WIJ94061203,-33.81666667,19.15833333,16.159485448016184
27,OUT96092806,-33.93566667,21.72883333,17.61376740336415
28,AGR92040701,-33.97883333,19.28166667,16.159485448016184
29,GYC92070501,-33.8825,19.16183333,16.159485448016184
30,GYC92070502,-33.88566667,19.16016667,16.159485448016184
31,GYC92070503,-33.88783333,19.15866667,16.159485448016184
32,APE92072208,-34.09416667,18.45183333,16.82519545733296
33,AKS93070101,-34.4,19.315,17.02985640376632
34,FBH95090203,-34.113,18.43066667,17.158483331972278
35,HCE96052402,-34.0545,19.00916667,16.82519545733296
36,HCE96052404,-34.04866667,18.99416667,16.82519545733296
37,HCE96052405,-34.04683333,19.007,16.82519545733296
38,HCE96052501,-34.04683333,19.02466667,16.82519545733296
39,HCE96052502,-34.04683333,19.03516667,16.82519545733296
40,HCE96052602,-34.01616667,19.1045,16.159485448016184
