Obs,Latitude,Longitude,july_min,jan_max,prec,evap,soil,wind
NAH92083005,-34.0545,21.222,2.65,37.4,326.95,0.03,0.41,4.69
SHS93070803,-33.95683333,21.97316667,4.23,35.73,305.86,0.03,0.41,4.22
DOA93110201,-33.632,21.41983333,0.3,39.56,374.41,0.05,0.41,4.09
DOA93112302,-33.61433333,21.36566667,0.3,39.56,374.41,0.05,0.41,4.09
DOA93112904,-33.865,22.19283333,7.26,30.83,348.05,0.08,0.43,2.07
DOA93112905,-33.85266667,22.1855,4.23,35.73,305.86,0.03,0.41,4.22
SHS93122104,-33.85,22.41666667,7.26,30.83,348.05,0.08,0.43,2.07
SHS94012403,-33.81166667,22.10216667,4.23,35.73,305.86,0.03,0.41,4.22
SHS94020104,-33.845,21.86833333,4.23,35.73,305.86,0.03,0.41,4.22
SHS94020106,-33.84766667,21.86183333,4.23,35.73,305.86,0.03,0.41,4.22
SHS94020110,-33.83966667,21.85233333,4.23,35.73,305.86,0.03,0.41,4.22
DOA94061602,-33.45683333,21.23383333,0.3,39.56,374.41,0.05,0.41,4.09
ROO94102502,-33.45633333,21.16783333,0.3,39.56,374.41,0.05,0.41,4.09
ROO94110301,-33.45316667,21.13066667,0.3,39.56,374.41,0.05,0.41,4.09
ROO94110302,-33.455,21.11883333,0.3,39.56,374.41,0.05,0.41,4.09
SHS94062812,-33.85083333,21.835,4.23,35.73,305.86,0.03,0.41,4.22
DOA94112407,-33.436,21.2865,0.3,39.56,374.41,0.05,0.41,4.09
ROO94111107,-33.445,21.08166667,0.3,39.56,374.41,0.05,0.41,4.09
ROO94111401,-33.45766667,21.06933333,0.3,39.56,374.41,0.05,0.41,4.09
ROO94111403,-33.4585,21.07416667,0.3,39.56,374.41,0.05,0.41,4.09
ROO94111407,-33.447,21.065,0.3,39.56,374.41,0.05,0.41,4.09
ROO94111501,-33.45966667,21.0635,0.3,39.56,374.41,0.05,0.41,4.09
ROO94111504,-33.4525,21.06133333,0.3,39.56,374.41,0.05,0.41,4.09
ROO94111507,-33.44416667,21.06016667,0.3,39.56,374.41,0.05,0.41,4.09
ROO94111513,-33.45183333,21.05266667,0.3,39.56,374.41,0.05,0.41,4.09
ROO94111514,-33.45083333,21.049,0.3,39.56,374.41,0.05,0.41,4.09
ROO94111610,-33.6155,21.43233333,0.3,39.56,374.41,0.05,0.41,4.09
ROO94111615,-33.6095,21.442,0.3,39.56,374.41,0.05,0.41,4.09
ROO94112303,-33.44616667,21.39133333,0.3,39.56,374.41,0.05,0.41,4.09
TOW94111704,-33.43783333,21.4785,0.3,39.56,374.41,0.05,0.41,4.09
NAH95021201,-34.22866667,18.402,11.12,25.9,374.41,0.22,0.34,3.64
TOW95051010,-33.711,21.45583333,0.3,39.56,374.41,0.05,0.41,4.09
TOW95052302,-33.51616667,20.70916667,0.23,37.73,300.59,0.03,0.43,4.14
DOA95060103,-33.37933333,21.408,0.3,39.56,374.41,0.05,0.41,4.09
APE95081703,-34.23733333,19.14633333,1.57,36.73,458.79,0.16,0.45,3.73
AWA95092402,-34.6355,19.92416667,5.49,30.49,374.41,0.13,0.4,4.09
ROO95092405,-34.705,19.91016667,5.49,30.49,374.41,0.13,0.4,4.09
PMR95111404,-33.5235,24.0935,0.54,42.04,453.52,0.14,0.44,3.92
LYM96021607,-34.08566667,19.13766667,1.57,36.73,458.79,0.16,0.45,3.73
DEL96032001,-33.67533333,25.16583333,2.58,42.57,511.52,0.16,0.41,3.06
DEL96041701,-33.615,25.28,2.58,42.57,511.52,0.16,0.41,3.06
TOW96050603,-33.724,21.9285,0.71,40,390.23,0.05,0.45,3.94
TOW96050607,-33.73866667,21.93233333,0.71,40,390.23,0.05,0.45,3.94
TOW96050807,-33.723,21.86133333,0.71,40,390.23,0.05,0.45,3.94
CVV96050704,-34.26833333,18.46333333,10.17,24.48,474.61,0.22,0.42,3.61
CVV96050705,-34.27083333,18.46,10.17,24.48,474.61,0.22,0.42,3.61
CVV96050708,-34.34083333,18.47166667,10.17,24.48,474.61,0.22,0.42,3.61
NGF96080904,-33.41433333,19.05266667,3.84,37.94,516.8,0.22,0.42,3.4
NGF96081001,-33.36033333,19.07316667,0.23,36.51,527.34,0.21,0.47,3.48
NGF96080302,-34.2995,19.419,6.87,29.51,363.87,0.14,0.41,3.67
AGR96082102,-33.8955,19.2795,1.57,36.73,458.79,0.16,0.45,3.73
LYM96072404,-34.061,19.19566667,1.57,36.73,458.79,0.16,0.45,3.73
NGF96072703,-34.6305,19.79216667,5.49,30.49,374.41,0.13,0.4,4.09
NGF96072805,-34.57483333,19.76783333,5.49,30.49,374.41,0.13,0.4,4.09
LYM96083102,-32.155,19.03166667,2.19,39.13,290.04,0.09,0.37,3.78
CHE96091302,-34.17066667,19.53683333,1.57,36.73,458.79,0.16,0.45,3.73
AGR96091125,-32.69616667,18.6065,1.84,38.63,379.69,0.15,0.41,3.65
DOA96101412,-33.89916667,23.21666667,6.64,31.46,369.14,0.1,0.43,1.43
DOA96101422,-33.82516667,23.18333333,6.64,31.46,369.14,0.1,0.43,1.43
DOA96101432,-33.75983333,23.14833333,6.64,31.46,369.14,0.1,0.43,1.43
DOA96101614,-33.9915,21.78116667,4.23,35.73,305.86,0.03,0.41,4.22
DOA96100501,-33.95983333,25.528,10.15,32.73,495.7,0.19,0.41,4.16
DOA96100803,-34.04816667,21.22416667,2.65,37.4,326.95,0.03,0.41,4.69
DOA96100825,-34.29616667,21.59433333,11.26,25.4,263.67,0.03,0.34,4.31
DOA96100826,-34.313,21.5925,11.26,25.4,263.67,0.03,0.34,4.31
DOA96100931,-34.36616667,21.75533333,11.26,25.4,263.67,0.03,0.34,4.31
DOA96101629,-33.91433333,21.73766667,4.23,35.73,305.86,0.03,0.41,4.22
DOA96101631,-33.90983333,21.72633333,4.23,35.73,305.86,0.03,0.41,4.22
DOA96101634,-33.92533333,21.4215,2.65,37.4,326.95,0.03,0.41,4.69
DOA96101636,-33.9235,21.34416667,2.65,37.4,326.95,0.03,0.41,4.69
DOA96101642,-33.931,21.243,2.65,37.4,326.95,0.03,0.41,4.69
NAH96101501,-34.1985,18.41816667,11.12,25.9,374.41,0.22,0.34,3.64
AWA96101402,-33.0315,19.40666667,-1.39,35.69,564.26,0.2,0.49,3.73
AWA96101804,-32.9775,19.339,-1.39,35.69,564.26,0.2,0.49,3.73
AWA96111202,-33.8635,22.25816667,7.26,30.83,348.05,0.08,0.43,2.07
NAH96111506,-33.60233333,19.18716667,0.23,36.51,527.34,0.21,0.47,3.48
LYM96111701,-32.77616667,18.75916667,2.38,39.8,500.98,0.19,0.41,3.66
PJM96072803,-34.57166667,19.78283333,5.49,30.49,374.41,0.13,0.4,4.09
DJL97011610,-33.83466667,19.1275,1.57,36.73,458.79,0.16,0.45,3.73
CHE96120402,-34.464,19.83883333,5.49,30.49,374.41,0.13,0.4,4.09
TOW97011607,-33.37616667,21.76833333,0.71,40,390.23,0.05,0.45,3.94
NAH97012802,-34.0865,18.95533333,6.06,33.55,506.25,0.19,0.45,3.49
CHE97022009,-34.25583333,19.2865,6.87,29.51,363.87,0.14,0.41,3.67
DOA97022618,-33.692,23.13483333,-0.79,38.52,516.8,0.11,0.48,3.55
NAH97030201,-33.58333333,19.65,0.23,36.51,527.34,0.21,0.47,3.48
NAH97030202,-33.58283333,19.643,0.23,36.51,527.34,0.21,0.47,3.48
DOA97040319,-33.95,21.22633333,2.65,37.4,326.95,0.03,0.41,4.69
DOA97040322,-33.92583333,21.20916667,2.65,37.4,326.95,0.03,0.41,4.69
LYM97032112,-32.252,19.17,-0.63,37.38,474.61,0.11,0.48,3.89
DOA97070806,-33.66666667,24.78816667,2.58,42.57,511.52,0.16,0.41,3.06
DOA97070808,-33.65116667,24.792,2.58,42.57,511.52,0.16,0.41,3.06
DOA97070809,-33.64783333,24.7935,2.58,42.57,511.52,0.16,0.41,3.06
DOA97070810,-33.64416667,24.7995,2.58,42.57,511.52,0.16,0.41,3.06
NGF97081704,-34.681,19.75183333,5.49,30.49,374.41,0.13,0.4,4.09
CHE97081301,-33.82116667,18.99616667,6.06,33.55,506.25,0.19,0.45,3.49
CHE97091107,-34.1765,19.22716667,1.57,36.73,458.79,0.16,0.45,3.73
DJL97091103,-34.0725,19.2945,1.57,36.73,458.79,0.16,0.45,3.73
CHE97091008,-33.9865,19.1275,1.57,36.73,458.79,0.16,0.45,3.73
CHE97101608,-33.9915,19.73766667,1.82,38.84,427.15,0.1,0.43,4.03
SMR97091104,-34.086,19.28833333,1.57,36.73,458.79,0.16,0.45,3.73
CHE97100101,-33.34366667,19.52366667,0.23,36.51,527.34,0.21,0.47,3.48
LYM97112911,-34.468,19.63766667,6.87,29.51,363.87,0.14,0.41,3.67
LYM97112915,-34.49283333,19.69833333,5.49,30.49,374.41,0.13,0.4,4.09
DOA97111722,-33.35,22.3935,0.52,38.33,406.05,0.07,0.43,3.51
