,beta0,july_min,jan_max,prec,evap,soil,wind
1,1.961974353,0.406215346,0.700883187,-0.368700313,0.479104771,0.302773441,0.016935128
2,4.47102064,0.076633766,-0.138528953,0.207954642,-0.144808299,0.003152113,-0.49779323
3,6.764782676,-0.702290766,-0.618084197,0.542933777,-0.103379429,-0.487847117,-0.205822571
4,9.632958743,0.744648089,-0.021641606,0.043511626,-1.036877946,0.056561491,-0.193986588
5,12.76430299,0.197215409,-1.400108987,2.70636333,-1.005571212,-1.56251423,-0.806524988
6,0.811111218,-0.067227017,-0.295143034,-0.129997231,0.022250707,0.031838484,0.068743982
7,8.040172185,0.402240058,0.311565439,0.276171538,-0.651453531,-0.089036863,-0.397684164
8,10.34669061,2.505583766,1.602687274,-1.188733806,0.908210493,1.34526709,-0.431966958
9,1.239521001,0.333408582,0.075076443,0.313743478,-0.250518396,-0.339528549,-0.00140241
10,2.315929183,-0.136341007,-0.015831752,0.215896236,-0.061638516,-0.258259204,-0.064151509
11,4.672053373,14.55020498,11.76556405,-13.50907903,8.835498115,7.003910242,-0.809494332
12,25.72611318,49.55922555,40.81349113,-48.79991673,31.27630575,24.93139976,-2.857978339
13,1.261083481,-4.679643921,-2.369439065,1.089601114,-1.757535317,-1.399633178,0.836372201
14,36.78809445,77.09847555,60.35594688,-73.5620976,44.04630957,40.44320979,-7.359738175
15,0.206860597,0.420477515,0.604411367,0.089890632,-1.761967344,0.507602551,-0.294180739
16,3.077019882,4.409191671,3.887901878,-4.394665452,2.606115924,2.191530772,-0.561386947
17,77.66917268,104.447989,95.02823589,-104.8293933,58.08678498,55.07992854,-13.50243434
18,-1.625160919,-15.87512395,-3.112828618,-6.427599425,-9.354726726,8.105929307,0.872262658
19,96.49716088,503.6132821,358.5493494,-367.4804328,265.6873562,207.2495587,-75.90264294
20,1.090965101,1.683309608,-0.838421733,-2.090844312,-1.739593004,-1.471076373,-0.684636293
21,0.069823861,-2.951338765,-1.334208185,0.435736821,-0.343949612,-0.965777226,0.940326888
22,1.264522928,0.020180497,0.00107779,-0.00884036,-0.010177009,0.02742078,-0.03471242
23,1.333520094,-0.036492158,-0.086174401,-0.041704002,-0.030655744,0.014481008,-0.00219201
24,7.553887313,0.319714677,0.310493038,-0.918677444,0.474665729,0.649554968,0.277514629
25,1.11669094,-0.017374144,-0.038657571,0.094456916,-0.22077679,-0.044599315,-0.054639357
26,1.637253852,-0.070334241,-0.047451628,-0.020571957,0.039497366,0.0757262,0.107821383
27,3.846358754,0.192386695,0.245386057,-0.173180509,0.318734404,-0.00180697,0.168305357
28,1.575362609,-0.165283941,-0.09573433,-0.106059512,0.045820022,-0.009585047,0.002523313
29,3.489520893,0.06223357,0.061303196,-0.211302189,0.02556411,0.068966061,0.065436477
30,3.399592479,-2.81607394,-2.774131626,-7.645912431,2.336465577,1.970101615,3.11568602
31,2.736854747,0.113615424,0.148567481,0.061990987,-0.001906482,-0.356029076,-0.039970706
32,1.081451348,-11.00385125,-10.1383581,-2.471960079,-2.68064499,-3.406086327,-1.254613139
33,3.860758967,-17.07235312,-14.19539161,-5.439355436,-4.250245214,-4.345044145,-2.855401711
34,3.673185261,-11.83309022,-10.07491181,-4.238597341,-3.095567256,-2.622483456,-1.980852175
35,2.003706119,-5.689684964,-4.563336142,-2.196190936,-1.240924862,-0.972067322,-0.960939799
36,4.960521354,-13.94604241,-10.68971838,-5.885387662,-2.672928778,-2.050306065,-2.60533572
37,2.471801195,-6.433870683,-6.039645417,-2.326129851,-1.47674288,-1.284088097,-0.624636741
