OBS,PRO,Lats,Latitude,Longitude,jan_max,july_min,prec,evap,soil,wind
PAP92022301,PRMUND,34.33333333,-34.33333333,19.01666667,24.48,10.17,474.61,0.22,0.42,3.61
PAP92071702,PRMUND,34.32733333,-34.32733333,19.002,24.48,10.17,474.61,0.22,0.42,3.61
NAH92071504,PRMUND,33.58333333,-33.58333333,24.24733333,42.04,0.54,453.52,0.14,0.44,3.92
NAH92071601,PRMUND,33.59233333,-33.59233333,24.39833333,42.04,0.54,453.52,0.14,0.44,3.92
APE92080909,PRMUND,34.2675,-34.2675,19.02483333,24.48,10.17,474.61,0.22,0.42,3.61
APE92081602,PRMUND,34.33016667,-34.33016667,18.99516667,24.48,10.17,474.61,0.22,0.42,3.61
APE92081610,PRMUND,34.33333333,-34.33333333,19.01583333,24.48,10.17,474.61,0.22,0.42,3.61
SHR92081002,PRMUND,33.923,-33.923,23.14866667,31.46,6.64,369.14,0.1,0.43,1.43
SHR92081302,PRMUND,33.96833333,-33.96833333,23.53733333,29.69,8.42,390.23,0.17,0.44,2.8
JAT92081305,PRMUND,34.38833333,-34.38833333,19.35,29.51,6.87,363.87,0.14,0.41,3.67
TMA92083101,PRMUND,33.818,-33.818,22.9055,31.46,6.64,369.14,0.1,0.43,1.43
TMA92083102,PRMUND,33.82083333,-33.82083333,22.90283333,31.46,6.64,369.14,0.1,0.43,1.43
TMA92083103,PRMUND,33.82633333,-33.82633333,22.90966667,31.46,6.64,369.14,0.1,0.43,1.43
APE92100307,PRMUND,32.78933333,-32.78933333,18.64666667,39.8,2.38,500.98,0.19,0.41,3.66
PAP92091803,PRMUND,34.3225,-34.3225,18.99083333,24.48,10.17,474.61,0.22,0.42,3.61
AGR92102506,PRMUND,34.074,-34.074,18.393,25.9,11.12,374.41,0.22,0.34,3.64
APE92092704,PRMUND,33.5765,-33.5765,24.251,42.04,0.54,453.52,0.14,0.44,3.92
APE92092706,PRMUND,33.57483333,-33.57483333,24.25533333,42.04,0.54,453.52,0.14,0.44,3.92
APE92092707,PRMUND,33.5725,-33.5725,24.26083333,42.04,0.54,453.52,0.14,0.44,3.92
PAP92091804,PRMUND,34.322,-34.322,18.98333333,24.48,10.17,474.61,0.22,0.42,3.61
CBE92092902,PRMUND,33.74683333,-33.74683333,23.16933333,38.52,-0.79,516.8,0.11,0.48,3.55
CBE92092903,PRMUND,33.7585,-33.7585,23.15583333,31.46,6.64,369.14,0.1,0.43,1.43
CBE92092904,PRMUND,33.76083333,-33.76083333,23.1425,31.46,6.64,369.14,0.1,0.43,1.43
CBE92092906,PRMUND,33.86666667,-33.86666667,23.172,31.46,6.64,369.14,0.1,0.43,1.43
CBE92092909,PRMUND,33.92016667,-33.92016667,23.1425,31.46,6.64,369.14,0.1,0.43,1.43
SSA92100401,PRMUND,33.89216667,-33.89216667,25.25433333,34.44,8.8,421.88,0.15,0.43,2.87
RSA93011802,PRMUND,34.0055,-34.0055,24.76666667,34.44,8.8,421.88,0.15,0.43,2.87
WAM92122901,PRMUND,33.96983333,-33.96983333,23.54616667,29.69,8.42,390.23,0.17,0.44,2.8
AGR93022402,PRMUND,33.96983333,-33.96983333,23.53333333,29.69,8.42,390.23,0.17,0.44,2.8
AGR93022408,PRMUND,33.95983333,-33.95983333,23.5415,29.69,8.42,390.23,0.17,0.44,2.8
AGR93022506,PRMUND,33.9595,-33.9595,23.56833333,29.69,8.42,390.23,0.17,0.44,2.8
AGR93030102,PRMUND,34.08533333,-34.08533333,23.31766667,31.46,6.64,369.14,0.1,0.43,1.43
AGR93030103,PRMUND,34.082,-34.082,23.311,31.46,6.64,369.14,0.1,0.43,1.43
AGR93030104,PRMUND,34.077,-34.077,23.306,31.46,6.64,369.14,0.1,0.43,1.43
AGR93030105,PRMUND,34.0675,-34.0675,23.26666667,31.46,6.64,369.14,0.1,0.43,1.43
AGR93030106,PRMUND,34.0705,-34.0705,23.25716667,31.46,6.64,369.14,0.1,0.43,1.43
AGR93030108,PRMUND,34.07383333,-34.07383333,23.2975,31.46,6.64,369.14,0.1,0.43,1.43
AGR93030205,PRMUND,34.08566667,-34.08566667,23.22933333,31.46,6.64,369.14,0.1,0.43,1.43
AGR93030210,PRMUND,34.06433333,-34.06433333,23.26483333,31.46,6.64,369.14,0.1,0.43,1.43
AGR93030303,PRMUND,33.99883333,-33.99883333,23.435,31.46,6.64,369.14,0.1,0.43,1.43
AGR93030402,PRMUND,33.9085,-33.9085,23.22333333,31.46,6.64,369.14,0.1,0.43,1.43
AGR93030403,PRMUND,33.76166667,-33.76166667,23.151,31.46,6.64,369.14,0.1,0.43,1.43
AGR93030404,PRMUND,33.759,-33.759,23.16233333,31.46,6.64,369.14,0.1,0.43,1.43
DOA93041002,PRMUND,33.93483333,-33.93483333,22.64683333,30.83,7.26,348.05,0.08,0.43,2.07
APE93042502,PRMUND,34.328,-34.328,19.00216667,24.48,10.17,474.61,0.22,0.42,3.61
KCK92122101,PRMUND,33.96716667,-33.96716667,23.54233333,29.69,8.42,390.23,0.17,0.44,2.8
KCK92122102,PRMUND,33.9675,-33.9675,23.54366667,29.69,8.42,390.23,0.17,0.44,2.8
KCK92122103,PRMUND,33.96833333,-33.96833333,23.54516667,29.69,8.42,390.23,0.17,0.44,2.8
KCK92122105,PRMUND,33.97016667,-33.97016667,23.54683333,29.69,8.42,390.23,0.17,0.44,2.8
KCK92122201,PRMUND,33.9675,-33.9675,23.58583333,29.69,8.42,390.23,0.17,0.44,2.8
KCK92122203,PRMUND,33.97033333,-33.97033333,23.58,29.69,8.42,390.23,0.17,0.44,2.8
KCK92122204,PRMUND,33.97116667,-33.97116667,23.57666667,29.69,8.42,390.23,0.17,0.44,2.8
DEB93040901,PRMUND,33.69583333,-33.69583333,24.06416667,42.04,0.54,453.52,0.14,0.44,3.92
DEB93040902,PRMUND,33.69,-33.69,24.10833333,42.04,0.54,453.52,0.14,0.44,3.92
DJF93022805,PRMUND,34.33533333,-34.33533333,18.94416667,24.48,10.17,474.61,0.22,0.42,3.61
APE93051904,PRMUND,33.88766667,-33.88766667,25.26616667,34.44,8.8,421.88,0.15,0.43,2.87
