"Obs","latitude","longitude","july_min","jan_max","prec","evap","soil","wind"
"EGH91121602",-33.6508333333333,23.5348333333333,-0.38,38.85,442.97,0.17,0.41,3.3
"WIJ92011704",-32.5133333333333,19.1855,-0.63,37.38,474.61,0.11,0.48,3.89
"WIJ92011706",-32.5216666666667,19.1838333333333,-0.63,37.38,474.61,0.11,0.48,3.89
"AGR92040701",-33.9788333333333,19.2816666666667,1.57,36.73,458.79,0.16,0.45,3.73
"WIJ91100902",-33.3366666666667,22.1883333333333,0.52,38.33,406.05,0.07,0.43,3.51
"WIJ91100903",-33.3133333333333,22.2166666666667,0.52,38.33,406.05,0.07,0.43,3.51
"WIJ91101001",-33.3116666666667,22.2166666666667,0.52,38.33,406.05,0.07,0.43,3.51
"WIJ91101002",-33.325,22.1583333333333,0.71,40,390.23,0.05,0.45,3.94
"WIJ91101101",-33.34,22.0833333333333,0.71,40,390.23,0.05,0.45,3.94
"WIJ91101102",-33.3483333333333,22.0383333333333,0.71,40,390.23,0.05,0.45,3.94
"WIJ91101201",-33.34,22.1133333333333,0.71,40,390.23,0.05,0.45,3.94
"WIJ91101301",-33.3416666666667,22.15,0.71,40,390.23,0.05,0.45,3.94
"CBE92042607",-33.2608333333333,19.5268333333333,0.23,36.51,527.34,0.21,0.47,3.48
"APE92051616",-33.5153333333333,19.1123333333333,0.23,36.51,527.34,0.21,0.47,3.48
"APE92052905",-33.4351666666667,21.0886666666667,0.3,39.56,374.41,0.05,0.41,4.09
"APE92052907",-33.4296666666667,21.1075,0.3,39.56,374.41,0.05,0.41,4.09
"APE92052908",-33.4261666666667,21.1125,0.3,39.56,374.41,0.05,0.41,4.09
"APE92052909",-33.4248333333333,21.1175,0.3,39.56,374.41,0.05,0.41,4.09
"APE92052910",-33.423,21.1215,0.3,39.56,374.41,0.05,0.41,4.09
"APE92052911",-33.4216666666667,21.1246666666667,0.3,39.56,374.41,0.05,0.41,4.09
"APE92052912",-33.4251666666667,21.128,0.3,39.56,374.41,0.05,0.41,4.09
"APE92052913",-33.4238333333333,21.1295,0.3,39.56,374.41,0.05,0.41,4.09
"APE92052914",-33.4211666666667,21.1338333333333,0.3,39.56,374.41,0.05,0.41,4.09
"APE92052915",-33.4216666666667,21.1391666666667,0.3,39.56,374.41,0.05,0.41,4.09
"APE92052916",-33.4213333333333,21.1435,0.3,39.56,374.41,0.05,0.41,4.09
"APE92052917",-33.4205,21.1486666666667,0.3,39.56,374.41,0.05,0.41,4.09
"APE92052918",-33.4216666666667,21.1538333333333,0.3,39.56,374.41,0.05,0.41,4.09
"APE92052919",-33.4181666666667,21.1628333333333,0.3,39.56,374.41,0.05,0.41,4.09
"APE92053002",-33.4166666666667,21.1768333333333,0.3,39.56,374.41,0.05,0.41,4.09
"APE92053003",-33.4158333333333,21.1736666666667,0.3,39.56,374.41,0.05,0.41,4.09
"APE92053004",-33.4158333333333,21.1683333333333,0.3,39.56,374.41,0.05,0.41,4.09
"APE92053005",-33.4166666666667,21.164,0.3,39.56,374.41,0.05,0.41,4.09
"APE92053006",-33.4143333333333,21.1558333333333,0.3,39.56,374.41,0.05,0.41,4.09
"NAH92060708",-32.6441666666667,19.1621666666667,-0.63,37.38,474.61,0.11,0.48,3.89
"APE92061313",-33.028,19.6156666666667,-1.39,35.69,564.26,0.2,0.49,3.73
"APE92061314",-33.0238333333333,19.6161666666667,-1.39,35.69,564.26,0.2,0.49,3.73
