obs,V1,V2,V3,V4,V5,V6,V7
1,2.444984678,-3.102071024,-1.948357364,25.86619473,-9.862185845,-21.06991818,4.641610698
2,0.962550071,3.088993954,2.984683996,0.147783161,4.378286792,5.298817997,4.435988653
3,0.655964674,-0.00812329,0.253257767,4.742687161,-1.295198603,-2.461512936,1.411545441
4,16.87080295,-21.61989621,-15.053734,147.7833755,-61.41505171,-128.5728882,22.70175072
5,0.329785293,0.411214282,0.0973401,1.268816261,-0.952651968,0.31513838,2.574596482
6,0.653764099,-0.117843269,0.244403218,-0.705857798,0.724596224,0.159414171,0.072701625
7,4.281387832,-0.000316998,-0.33569356,0.681971325,-0.862518032,-0.339783147,-0.205703535
8,12.42681774,0.688612673,0.441459116,-0.864858708,2.215641477,0.64649674,1.404055886
9,198.7643816,8.144273734,64.48273503,1.76369484,41.9814098,-39.41245224,1.754136613
10,-2.681476611,-0.374690684,2.299907419,1.099978541,-2.100951669,-0.999722594,-1.281084235
11,0.160128528,1.692838432,1.677465253,-0.844080551,-0.481958888,3.734804696,-2.434697135
12,1.384029166,0.991073722,0.789692204,-0.109822432,-0.210941631,2.089903342,-0.026722035
13,-6.327907897,8.680021852,5.13706407,13.42093618,-10.08236538,1.803655074,2.128049523
14,-1.736801237,3.603460059,2.094431997,5.46278011,-4.009671219,0.897563178,1.024363771
15,0.150254352,0.374201425,-0.102982873,1.146268313,-0.663732027,-0.114698726,-1.182189492
16,8.394200125,2.516738763,1.380096965,0.719587735,-3.561278153,5.760270982,-3.130745281
17,28.66381724,28.85225912,19.99639826,14.49698936,-26.13295273,52.35476126,-27.20513011
18,-0.346355385,3.34523667,7.6022591,-6.2393976,5.831597737,-1.963892402,-4.023507565
19,2.167890481,-0.132920592,-0.281664839,-4.85842828,3.356520822,0.630402641,2.381272448
20,4.907079665,0.819099763,-2.323668085,-5.740632546,2.613389437,-0.152734031,4.295658597
21,0.07962654,0.593058931,-1.091335534,-1.22756711,0.0882466,-0.12580207,1.093801752
22,-0.59885811,0.597767138,-0.447035331,-3.646676279,2.450848405,0.133050893,0.438992501
23,5.457249986,0.511823371,0.169949353,1.387401887,-0.279552836,-0.627125077,0.063316576
24,1.282596296,0.051564737,0.111270403,-0.04036144,0.237551075,-0.073746521,0.066825998
25,1.206883094,0.065526592,0.037623121,0.348231385,0.125548475,-0.269241636,0.31793961
26,7.640383604,-0.051635528,0.301940589,-0.793974736,1.142198269,0.221150007,0.623532474
27,2.314700772,0.034337126,0.096824327,0.237831608,0.173174589,-0.301734454,0.101502706
28,2.34746856,0.014584503,-0.133710691,0.013796848,0.209152724,-0.139784876,0.24223882
29,5.505002797,0.075563152,0.417036777,-0.21608907,0.797792575,-0.077248413,0.345039434
30,1.417487499,-7.645805043,-1.847222689,16.77798518,-0.110197389,-22.40187968,13.75072971
31,0.233408716,-0.185989309,-0.295838434,0.14937436,0.063737314,-0.392974453,-0.401255278
32,-0.338527351,0.1368479,0.066166324,0.709694573,-0.028829294,-0.627842466,-0.365402644
33,0.798298721,-0.137993373,0.137726268,0.731882158,-0.053892418,-0.677263743,-0.028361807
34,1.032442663,-0.089317078,-0.047568116,0.177052471,0.240315213,-0.439399747,0.229179806
35,1.247299263,-0.006411905,-0.125488741,0.292394647,-0.214825843,-0.159061761,0.226928718
36,0.996403221,0.064350045,-0.072279376,0.080337066,-0.016501814,-0.103639154,0.086530524
37,1.014361143,0.0477311,0.019434196,0.049430434,0.106268397,-0.07614887,0.027686839
38,2.817178269,0.177952932,-0.005599401,0.369901054,0.04157045,-0.23790123,0.1517754
39,1.388779058,0.067024594,0.000681884,0.137308566,-0.111373056,0.017005852,-0.056371796
40,180.5803115,-2.11530172,6.156529044,24.92562705,-9.215993661,-25.4221472,-6.635814568
41,0.415523495,1.143929815,-1.830621422,-0.110458037,-0.306915397,0.156299982,0.675941637
42,3.514629304,0.013894828,-0.420348678,0.578687971,0.066523389,-0.524350315,0.401420193
43,2.174769908,0.034695375,0.106050372,0.07388245,0.550395233,-0.237711267,0.358241274
44,2.089130067,0.067659423,0.303129005,-0.124550643,0.453258844,-0.053510181,0.093745862
45,5.653311976,-0.205727485,-0.115795075,-0.628970872,0.523051737,0.008451832,0.256121748
46,6.265693711,0.010837015,0.379588904,-0.958871538,0.366179582,-0.160498158,-0.523955384
47,3.373934996,0.193355902,0.073938547,1.205582394,-0.53402727,-0.886568512,0.123265703
48,3.699518634,-1.87976569,-0.267264932,3.599126001,-1.931699925,-0.616391446,-3.274761316
49,2.875553859,-0.370321337,0.841948813,-2.817174788,2.768466395,-0.512753191,-0.09750763
50,4.409155293,1.004223917,1.560918006,-3.740943479,2.824788008,0.215600283,-0.927688003
51,-0.849239307,0.577161063,-2.067529215,3.0725104,-1.514573513,1.584081306,0.081666052
52,-2.552560112,1.854584119,2.695014966,-0.374386249,3.873833253,-2.43078608,-1.528117095
53,0.180026156,0.212256419,0.323302987,-0.1558923,0.225925723,0.18089576,-0.094052641
54,-12.23452438,-5.589039166,-4.155643556,5.981661347,6.561704627,-18.47977951,8.952067328
