OBS,Latitude,Longitude,july_min,jan_max,prec,evap,soil,wind
RMC91120502,-33.6375,24.45216667,0.54,42.04,453.52,0.14,0.44,3.92
ADA91112702,-33.55,18.41666667,9.37,27.08,337.5,0.15,0.39,3.65
TLE91092202,-34.09016667,18.42816667,11.12,25.9,374.41,0.22,0.34,3.64
PMR91120501,-33.74316667,24.27816667,0.54,42.04,453.52,0.14,0.44,3.92
PMR91120502,-33.74433333,24.26266667,0.54,42.04,453.52,0.14,0.44,3.92
PMR91120503,-33.73866667,24.25383333,0.54,42.04,453.52,0.14,0.44,3.92
PMR91120506,-33.69416667,24.20166667,0.54,42.04,453.52,0.14,0.44,3.92
AGR91092104,-34.2,19.182,1.57,36.73,458.79,0.16,0.45,3.73
AGR91092107,-34.2,19.17333333,1.57,36.73,458.79,0.16,0.45,3.73
AGR91092108,-34.20183333,19.17,1.57,36.73,458.79,0.16,0.45,3.73
AGR91092110,-34.20233333,19.16366667,1.57,36.73,458.79,0.16,0.45,3.73
AGR91092901,-33.71666667,18.54583333,3.84,37.94,516.8,0.22,0.42,3.4
AGR91093001,-34.331,18.9595,10.17,24.48,474.61,0.22,0.42,3.61
AGR91100601,-34.0595,18.86666667,6.06,33.55,506.25,0.19,0.45,3.49
AGR91100603,-34.0415,18.871,6.06,33.55,506.25,0.19,0.45,3.49
AGR91100605,-34.045,18.87233333,6.06,33.55,506.25,0.19,0.45,3.49
AGR91100607,-34.0515,18.85216667,6.06,33.55,506.25,0.19,0.45,3.49
AGR91100608,-33.99233333,18.726,6.06,33.55,506.25,0.19,0.45,3.49
AGR91101401,-34.26666667,19.02266667,10.17,24.48,474.61,0.22,0.42,3.61
AGR91111601,-33.9025,19.15716667,1.57,36.73,458.79,0.16,0.45,3.73
AGR91111603,-33.895,19.15516667,1.57,36.73,458.79,0.16,0.45,3.73
AGR91111604,-33.8915,19.15716667,1.57,36.73,458.79,0.16,0.45,3.73
AGR91111605,-33.88516667,19.162,1.57,36.73,458.79,0.16,0.45,3.73
AGR91111606,-33.881,19.162,1.57,36.73,458.79,0.16,0.45,3.73
AGR91111607,-33.8825,19.16883333,1.57,36.73,458.79,0.16,0.45,3.73
AGR91111614,-33.887,19.17733333,1.57,36.73,458.79,0.16,0.45,3.73
AGR91111615,-33.89316667,19.1735,1.57,36.73,458.79,0.16,0.45,3.73
AGR91111617,-33.9,19.162,1.57,36.73,458.79,0.16,0.45,3.73
